clientCode,family,consumo2020,consumo2021,consumo2022,consumo2023,fDato,ventas2020,ventas2021,ventas2022,ventas2023,"competidores","comentarios"
13166,GLICOLES,1500.000,1500.000,1500.000,1500.000,01/03/2024,,70.320,,,"Todos",""
13171,GLICOLES,500.000,500.000,500.000,500.000,01/03/2024,46.340,110.000,22.000,22.000,"Ineos, BASF",""
13178,OP,1800.000,1800.000,1800.000,1800.000,01/03/2024,16.820,16.820,,,"Lyondell Dow SKC",""
13189,GLICOLES,200.000,200.000,200.000,300.000,01/03/2024,48.020,123.360,123.600,121.920,"Ineos",""
13193,OP,1200.000,,,,01/03/2024,1199.921,,,,"","no relevante - co productor"
13219,GLICOLES,25.000,,500.000,500.000,01/03/2024,24.900,,,,"",""
13235,GLICOLES,800.000,1200.000,1200.000,800.000,01/03/2024,,176.000,66.000,,"",""
13235,POLIOLES,100.000,200.000,200.000,500.000,01/03/2024,,10.000,,25.000,"PCC Rokita",""
13244,GLICOLES,4.000,4.000,4.000,4.000,01/03/2024,3.660,,,,"",""
13247,POLIOLES,500.000,500.000,500.000,125.000,01/03/2024,2.000,59.960,95.640,24.040,"Basf, Covestro",""
13253,POLIOLES,3500.000,3500.000,3500.000,3500.000,01/03/2024,2.000,23.760,368.880,480.780,"",""
13254,POLIOLES,600.000,600.000,600.000,,01/03/2024,,109.740,0.660,,"Dow",""
13258,GLICOLES,150.000,150.000,150.000,200.000,01/03/2024,22.080,44.580,22.060,88.960,"",""
13270,POLIOLES,100.000,3500.000,3300.000,3300.000,01/03/2024,79.280,967.740,528.660,198.960,"DOW",""
13276,GLICOLES,500.000,500.000,500.000,500.000,01/03/2024,24.540,48.720,74.040,," Todos",""
13282,GLICOLES,600.000,42.000,51.000,60.000,01/03/2024,,42.000,51.000,10.000,"",""
13290,GLICOLES,,,3.000,3.000,01/03/2024,,,,,"",""
13296,GLICOLES,,18.000,,,01/03/2024,,17.600,,,"","empresa Rusa. No more contact"
13300,ESTIRENO,,1000.000,1100.000,1100.000,01/03/2024,,903.800,545.020,644.800,"QUIMIDROGA",""
13302,GLICOLES,,18.000,,,01/03/2024,,17.600,,,"","distribuidor- no relevante"
13307,OP,,1200.000,,,01/03/2024,,1199.953,,,"","no relevante - co productor"
13312,POLIOLES,,25.000,6.000,16.000,01/03/2024,,25.000,6.000,16.000,"",""
13316,POLIOLES,,99.060,104.000,3000.000,01/03/2024,,99.060,103.940,,"",""
13321,ESTIRENO,,83.720,,,01/03/2024,,83.720,,,"","distribuidor- no relevante"
13338,POLIOLES,,20.140,,,01/03/2024,,20.140,,,"",""
13340,GLICOLES,150.000,150.000,150.000,150.000,01/03/2024,,1.000,,48.880,"",""
13341,GLICOLES,800.000,800.000,800.000,800.000,01/03/2024,,198.000,348.000,264.000,"",""
13345,GLICOLES,46.000,46.000,65.000,63.000,01/03/2024,,46.000,65.000,63.000,"",""
13346,GLICOLES,,2000.000,2000.000,2000.000,01/03/2024,,98.020,48.900,,"",""
13348,GLICOLES,100.000,150.000,150.000,150.000,01/03/2024,,88.000,27.000,,"",""
13365,GLICOLES,,118.360,274.660,137.500,01/03/2024,,118.360,274.660,137.500,"",""
13371,GLICOLES,,,49.180,500.000,01/03/2024,,,49.180,171.320,"",""
13371,POLIOLES,,,49.180,20.000,01/03/2024,,,,4.000,"",""
